sentence,dialect ,diction_label
Ala eh baka gabihin tayo sa daan nito.  ,Batangas,
Saan ga banda rito ang terminal ng dyip?  ,Batangas,
Dine muna kayo habang wala pa sila.  ,Batangas,
Mabanas pala sa palengke kapag ganitong tanghali.  ,Batangas,
Nakain mo na ba ang merienda na iniwan ko?  ,Batangas,
Liban muna tayo sa maingay na lugar na iyan.  ,Batangas,
Ala eh parang traffic na naman sa bayan ngayon.  ,Batangas,
Sige ga umalis na tayo habang maaga pa.  ,Batangas,
Dine muna ang payong mo at baka mawala.  ,Batangas,
Mabanas sa loob ng jeep kapag siksikan talaga.  ,Batangas,
Parine ka muna at may sasabihin ako sa iyo.  ,Batangas,
Saan ga tayo kakain ng lomi mamaya?  ,Batangas,
Ala eh ang ganda naman ng gising mo ngayon.  ,Batangas,
Dine muna tayo habang naghihintay sa kanilang pagdating.  ,Batangas,
Nakain na ba ng bata ang kanyang almusal?  ,Batangas,
Ala eh naiiyak ako sa sobrang tuwa sa balita!  ,Batangas,
Ba ga hindi mo man lang naisip ang mararamdaman ko?  ,Batangas,
Nabanasan ako at napuno na ang salop ko sa galit!  ,Batangas,
Ala eh napakasakit naman ng binitawan mong salita dine.  ,Batangas,
Bakit ga laging ako na lang ang nakikita mong nagkakamali?  ,Batangas,
Nalulungkot ako dahil umalis ga sila nang walang paalam.  ,Batangas,
Ala eh parang guguho ang mondo ko sa nangyari.  ,Batangas,
Ba ga ayaw mo na talaga akong paniwalaan dine?  ,Batangas,
Naiinis ako kapag pinagbubuntunan mo ako ng galit mo!  ,Batangas,
Ala eh huwag mo naman akong tiisin nang ganito.  ,Batangas,
Naliligalig ang loob ko habang naulan nang malakas.  ,Batangas,
Ba ga hindi ka pa nakokontento sa ginawa mo?  ,Batangas,
Ala eh.  ,Batangas,
Saan ga?  ,Batangas,
Dine lang.  ,Batangas,
Mabanas eh.  ,Batangas,
Nakain na.  ,Batangas,
Liban muna.  ,Batangas,
Parine ka.  ,Batangas,
Ba ga?  ,Batangas,
Naulan na.  ,Batangas,
Namasada ga?  ,Batangas,
Nasulat na.  ,Batangas,
Ala eh napakahaba na naman ng pila sa lilihan sa may gitna ng bayan kaya siguradong maiipit tayo sa matinding trapik.  ,Batangas,
Saan ga tayo makakakuha ng libreng kuryente at tubig dine sa bagong lipat na pasilidad ng aming unibersidad?  ,Batangas,
Dine ka na matulog sa kwarto ni kuya dahil gabi na at masama ang panahon dahil sa lakas ng ulan.  ,Batangas,
Mabanas kapag siksikan ang mga pasahero sa loob ng dyip tapos ay nakasara pa ang lahat ng mga bintana rito.  ,Batangas,
