token,category
po,polite
opo,polite
ho,polite
oho,polite
paki,polite
pakisuyo,polite
pakibigay,polite
pakikuha,polite
pakisabi,polite
pakitulong,polite
pakihintay,polite
pakidala,polite
pakibukas,polite
pakisara,polite
pakipasok,polite
pakilagay,polite
pakibasa,polite
pakisulat,polite
pakitignan,polite
pakitingnan,polite
pakialam,polite
makisuyo,polite
makidalo,polite
makilahok,polite
makiraan,polite
makipagtulungan,polite
makihingi,polite
makibahagi,polite
makisama,polite
makipagkita,polite
makipagkonsulta,polite
salamat,polite
paumanhin,polite
patawad,polite
maaari,formal
maaaring,formal
marapat,formal
nararapat,formal
sapagkat,formal
subalit,formal
datapwat,formal
gayunpaman,formal
bagaman,formal
samantala,formal
samakatwid,formal
hinggil,formal
ukol,formal
alinsunod,formal
makatuwiran,formal
makatarungan,formal
kinakailangan,formal
ipinababatid,formal
ipinagkakaloob,formal
ipinag-uutos,formal
hinihiling,formal
isinasaalang-alang,formal
ipinatutupad,formal
ipinagbabawal,formal
pinahihintulutan,formal
ipinapahayag,formal
ipinapaliwanag,formal
itinatadhana,formal
nakasaad,formal
nakalaan,formal
isinumite,formal
isinangguni,formal
pinagtitibay,formal
ipinapaalam,formal
ipinapakita,formal
ipinagkakait,formal
ipinagpaliban,formal
ipinagpatuloy,formal
isinagawa,formal
isinasagawa,formal
isinakatuparan,formal
nakapaloob,formal
itinakda,formal
itinatag,formal
itinalaga,formal
itinatalaga,formal
tinutukoy,formal
tinukoy,formal
binanggit,formal
ipinadala,formal
ipinasa,formal
tinanggap,formal
tinatanggap,formal
pinagtibay,formal
pinahintulutan,formal
pinagtutuunan,formal
ipinauubaya,formal
ipinagbibigay,formal
ipinagkakaisa,formal
ipinagkakasundo,formal
kinikilala,formal
isinasaad,formal
isinaad,formal
ipinagtatanggol,formal
pinahahalagahan,formal
pinangangalagaan,formal
pinananatili,formal
pinatutunayan,formal
pinatutupad,formal
ipinagpapalagay,formal
ipinapalagay,formal
ipinapakahulugan,formal
kinakailangang,formal
nararapatin,formal
mahalaga,formal
makabuluhan,formal
wasto,formal
tumpak,formal
angkop,formal
naaayon,formal
kaugnay,formal
naaangkop,formal
kinauukulan,formal
kaukulang,formal
naririto,formal
naririyan,formal
naroon,formal
sinuman,formal
anumang,formal
alinman,formal
bawat,formal
