word,category
po,Politeness
opo,Politeness
ho,Politeness
oho,Politeness
kuya,Respectful Address
ate,Respectful Address
manong,Respectful Address
manang,Respectful Address
aling,Respectful Address
lolo,Family Respect
lola,Family Respect
tatay,Family Respect
itay,Family Respect
nanay,Family Respect
inay,Family Respect
ama,Family Respect
ina,Family Respect
tito,Family Respect
tiyo,Family Respect
tita,Family Respect
tiya,Family Respect
ginoo,Formal Title
ginang,Formal Title
binibini,Formal Title
kagalang-galang,Formal Title
dayang,Traditional Title
gat,Traditional Title
