sentence,dialect
Ala eh baka gabihin tayo sa daan nito. ,batangas
Saan ga banda rito ang terminal ng dyip? ,batangas
Dine muna kayo habang wala pa sila. ,batangas
Mabanas pala sa palengke kapag ganitong tanghali. ,batangas
Nakain mo na ba ang merienda na iniwan ko? ,batangas
Liban muna tayo sa maingay na lugar na iyan. ,batangas
Ala eh parang traffic na naman sa bayan ngayon. ,batangas
Sige ga umalis na tayo habang maaga pa. ,batangas
Dine muna ang payong mo at baka mawala. ,batangas
Mabanas sa loob ng jeep kapag siksikan talaga. ,batangas
Parine ka muna at may sasabihin ako sa iyo. ,batangas
Saan ga tayo kakain ng lomi mamaya? ,batangas
Ala eh ang ganda naman ng gising mo ngayon. ,batangas
Dine muna tayo habang naghihintay sa kanilang pagdating. ,batangas
Nakain na ba ng bata ang kanyang almusal? ,batangas
Ala eh naiiyak ako sa sobrang tuwa sa balita! ,batangas
Ba ga hindi mo man lang naisip ang mararamdaman ko? ,batangas
Nabanasan ako at napuno na ang salop ko sa galit! ,batangas
Ala eh napakasakit naman ng binitawan mong salita dine. ,batangas
Bakit ga laging ako na lang ang nakikita mong nagkakamali? ,batangas
Nalulungkot ako dahil umalis ga sila nang walang paalam. ,batangas
Ala eh parang guguho ang mondo ko sa nangyari. ,batangas
Ba ga ayaw mo na talaga akong paniwalaan dine? ,batangas
Naiinis ako kapag pinagbubuntunan mo ako ng galit mo! ,batangas
Ala eh huwag mo naman akong tiisin nang ganito. ,batangas
Naliligalig ang loob ko habang naulan nang malakas. ,batangas
Ba ga hindi ka pa nakokontento sa ginawa mo? ,batangas
Ala eh. ,batangas
Saan ga? ,batangas
Dine lang. ,batangas
Mabanas eh. ,batangas
Nakain na. ,batangas
Liban muna. ,batangas
Parine ka. ,batangas
Ba ga? ,batangas
Naulan na. ,batangas
Namasada ga? ,batangas
Nasulat na. ,batangas
Ala eh napakahaba na naman ng pila sa lilihan sa may gitna ng bayan kaya siguradong maiipit tayo sa matinding trapik. ,batangas
Saan ga tayo makakakuha ng libreng kuryente at tubig dine sa bagong lipat na pasilidad ng aming unibersidad? ,batangas
Dine ka na matulog sa kwarto ni kuya dahil gabi na at masama ang panahon dahil sa lakas ng ulan. ,batangas
Mabanas kapag siksikan ang mga pasahero sa loob ng dyip tapos ay nakasara pa ang lahat ng mga bintana rito. ,batangas
Nakain ka na ba ga ng mainit na suman magat pagkatapos mong uminom ng barakong kape kaninang madaling araw? ,batangas
Liban muna tayo sa pamamasyal ngayong katapusan ng linggo dahil kailangan nating mag-aral para sa darating na mahabang pagsusulit. ,batangas
Parine ka bilis at baka ka maiwan ng huling biyahe ng sasakyan patungong lipa ngayong hapon. ,batangas
