sentence,dialect
Ala eh kumain ka na ba?,Batangas
Ala eh ang init ngayon ah,Batangas
Saan ka ga pupunta?,Batangas
Dine ka muna umupo,Batangas
Ang sarap naman ng luto mo ala eh,Batangas
Ba ga hindi ka sasama?,Batangas
Ala eh parang uulan,Batangas
Dine na tayo mag-usap,Batangas
Nakain ka na ba?,Batangas
Mabanas ngayon ala eh,Batangas
Liban tayo doon,Batangas
Ala eh bakit ganyan,Batangas
Sige ga tara na,Batangas
Dine muna tayo,Batangas
Ala eh ang bagal mo,Batangas
Ba ga hindi mo alam?,Batangas
Ala eh ang saya dito,Batangas
Dine ka lang,Batangas
Nakain ka na ba kanina?,Batangas
Mabanas talaga,Batangas
Ala eh ang lakas ng ulan,Batangas
Ba ga hindi ka natatakot?,Batangas
Saan ka ga galing?,Batangas
Ala eh ang dami tao,Batangas
Dine tayo kumain,Batangas
Kumain ka na ba?,Laguna
Saan ka pupunta?,Laguna
Dito ka muna umupo,Laguna
Ang init ngayon,Laguna
Parang uulan,Laguna
Tara na,Laguna
Dito tayo mag-usap,Laguna
Kumain ka na ba kanina?,Laguna
Mainit ngayon,Laguna
Doon tayo pumunta,Laguna
Bakit ganyan?,Laguna
Sige tara na,Laguna
Dito lang ako,Laguna
Ang bagal mo,Laguna
Hindi mo alam?,Laguna
Ang saya dito,Laguna
Dito ka lang,Laguna
Kumain ka na ba?,Laguna
Mainit talaga,Laguna
Malakas ang ulan,Laguna
Hindi ka natatakot?,Laguna
Saan ka galing?,Laguna
Ang daming tao,Laguna
Dito tayo kumain,Laguna
Pwede ba kita samahan?,Laguna
